audio_file
"[-3.96986206e+02  7.74405365e+01 -1.95927906e+01 -2.16666889e+01
 -2.11275506e+00  1.00753632e+01 -2.03667068e+01 -6.09244919e+00
 -7.21228361e+00 -5.57365894e-01 -1.83255327e+00  2.02101514e-01
  7.27550924e-01  1.31773770e+00  2.88633752e+00  2.85579133e+00
 -4.71292162e+00 -4.43651056e+00 -1.62115920e+00 -1.02398405e+01
 -7.55126286e+00 -1.79688025e+00 -7.03765202e+00  9.43658447e+00
  8.35585499e+00  2.17123604e+01  1.92169895e+01  2.03489265e+01
  1.34133663e+01  8.33917141e+00  3.94722492e-01  5.11131430e+00
  9.56873894e+00  5.45486784e+00  2.50996351e+00 -1.82390726e+00
  4.86896276e+00  9.31392288e+00  2.08915019e+00 -1.90649128e+00]"
"[-4.6573267e+02  9.8773727e+01  6.5600872e-01 -3.2745441e+01
 -1.1261922e+01  1.2688793e+01 -1.1675358e+00 -3.4115872e+00
 -1.0514169e+01  4.3031459e+00 -1.2010704e+01  1.0480854e+01
 -1.3955756e+00  2.2061901e+00  3.5589239e-01  4.8080328e-01
 -7.5943346e+00 -5.1553206e+00 -2.2488477e+00 -9.0435181e+00
 -4.9952765e+00 -2.7404315e+00 -3.4408419e+00  1.7990030e+00
  9.2685776e+00  2.0041676e+01  2.1014481e+01  2.4858156e+01
  9.8788824e+00  5.8788128e+00  3.3304627e+00  8.7439222e+00
  1.2142041e+01  2.9907475e+00  2.1098967e+00 -2.3875349e+00
  2.0273149e+00  8.6807070e+00  4.1736588e+00  3.2589691e+00]"
"[-4.29791962e+02  4.61240005e+01  1.55504775e+00 -2.17095107e-01
  2.61119223e+00  2.61025012e-01 -1.36082249e+01 -4.61773252e+00
 -1.05528297e+01 -9.00517344e-01 -1.70726299e+01  5.97534513e+00
 -2.00607610e+00  4.64639330e+00 -9.59721625e-01  2.59354281e+00
 -4.86906022e-01 -1.41908634e+00 -6.16641521e+00 -1.08389435e+01
 -5.36396790e+00 -1.36506724e+00 -3.87252593e+00  1.32091665e+01
  1.83206806e+01  2.73878708e+01  2.21077175e+01  1.75259666e+01
  5.35563588e-01  2.26433873e+00  5.42789221e+00  1.02405386e+01
  1.10460014e+01 -3.84476018e+00 -4.96256542e+00  4.12869072e+00
  5.17125940e+00  8.63368225e+00 -2.42282844e+00 -2.34613132e+00]"
"[-403.46118      76.32369     -12.531774    -22.288858     -2.9588063
